"ID","lugar_emplazamiento_propiedad","denominacion","espacio_de_memoria","ubicacion","lon","lat"
715,"SIN ESTABLECER PROPIEDAD","CASA-QUINTA 2 (CERCANA A CAMPO DE MAYO)",FALSE,"CONESA 101 (presumiblemente) · SAN MIGUEL (ex partido de GRAL. SARMIENTO) · BUENOS AIRES",-58.725906,-34.5230042
716,"SIN ESTABLECER PROPIEDAD","CASA-QUINTA 3 (CERCANA A CAMPO DE MAYO)",FALSE,"CAMPO DE MAYO · SAN MIGUEL (ex GRAL. SARMIENTO) · BUENOS AIRES",-58.6550672,-34.5586099
717,"SERVICIO PENITENCIARIO PROVINCIAL","UNIDAD PENAL DE CONCEPCIÓN (CÁRCEL DE MUJERES)",FALSE,"Calle s/nº · CONCEPCIÓN · CHICLIGASTA · TUCUMÁN",-65.5883464,-27.3453363
718,"POLICÍA PROVINCIAL","BRIGADA FEMENINA DE LA PLATA",FALSE,"Av. 1 Nº 527 (entre 42 y 43) · LA PLATA · BUENOS AIRES",-57.9870314,-34.907797
720,"POLICÍA PROVINCIAL","SANIDAD POLICIAL",FALSE,"CMTE. SALAS y CHILE _ inmed de (anteriormente SAN LUIS a cuadra y media de GRAL. PAZ) · SAN RAFAEL · MENDOZA",-68.3276329,-34.6062289
721,"ESTATAL","TRIBUNALES DE SAN RAFAEL",FALSE,"EMILIO CIVIT y MAZA · SAN RAFAEL · MENDOZA                                                           CASA DEPARTAMENTAL DE SAN RAFAEL (SEDE DEL PODER JUDICIAL DE MENDOZA)",-68.326679,-34.6207769
722,"EJÉRCITO / ESTABLECIMIENTO PRIVADO","BODEGAS ""GARBÍN"" / BODEGAS ""EL MARINERO""",FALSE,"CASTELLI 1331 (y Av. URQUIZA) · SAN RAFAEL · MENDOZA                                  SEDE TEMPORARIA DE LA UNIDAD DE COMANDO SUB-ÁREA OPERACIONAL 3315",-68.32471,-34.6026832
723,"POLICÍA PROVINCIAL","CUERPO DE INFANTERÍA DE LA POLICÍA DE MENDOZA / UNIDAD REGIONAL II",FALSE,"MAZA y DEOCLESIO GARCÍA · SAN RAFAEL · MENDOZA                                                          SEDE TEMPORARIA DE LA UNIDAD DE COMANDO SUB-ÁREA OPERACIONAL 3315",-68.3220937,-34.6265969
724,"POLICÍA PROVINCIAL","COMISARÍA 32ª DE SAN RAFAEL",FALSE,"Av. HIPÓLITO YRIGOYEN entre 3 DE FEBRERO y LUGONES (según testimonios) / BUENOS AIRES 81 (ubicación actual) · SAN RAFAEL · MENDOZA",-58.3815591,-34.6036844
725,"ESTATAL","PALACIO MUNICIPAL / RADIO MUNICIPAL",FALSE,"CMTE. JOSÉ A. SALAS y GRAL. MANUEL BELGRANO · SAN RAFAEL · MENDOZA                                      SEDE TEMPORARIA DE LA UNIDAD DE COMANDO SUB-ÁREA OPERACIONAL 3315",-68.3308665,-34.6122817
726,"POLICIA PROVINCIAL","CASA DETRÁS DE ESCUELA NORMAL",FALSE,"MAZA entre Av. LIBERTADOR y SAN LORENZO · SAN RAFAEL · MENDOZA",-68.3310532,-34.6184925
727,"EJÉRCITO","REGIMIENTO DE INFANTERÍA 19                                                                     UNIDAD DE COMANDO ÁREA 321",FALSE,"Av. EJÉRCITO DEL NORTE e ITALIA _ Parque Roca · SAN MIGUEL DE TUCUMÁN · CAPITAL · TUCUMÁN",-65.2270247,-26.8057338
728,"POLICÍA FEDERAL","DEPARTAMENTO CENTRAL DE LA POLICÍA FEDERAL ARGENTINA                                                  UNIDAD DE COMANDO ÁREA I",FALSE,"MORENO 1550 · Monserrat · CAPITAL FEDERAL                                           DPTO. CENTRAL DE POLICÍA FEDERAL (pisos 3º y 4º)",-58.3882007,-34.6126617
729,"EJÉRCITO","COMPAÑÍA DE INGENIEROS 10",FALSE,"PABLO PODESTÁ · TRES DE FEBRERO · BUENOS AIRES",-58.6096284,-34.5800416
730,"POLICÍA PROVINCIAL","COMISARÍA 1ª DE SANTA ROSA / UNIDAD REGIONAL I",FALSE,"PADRE BUODO y Av. BELGRANO Sur · SANTA ROSA · CAPITAL · LA PAMPA",-64.2757138,-36.6222124
731,"POLICÍA PROVINCIAL","BRIGADA DE INVESTIGACIONES DE SANTA ROSA",FALSE,"RAÚL B. DÍAZ y RÍO NEGRO · SANTA ROSA · CAPITAL · LA PAMPA",-64.2899251,-36.6094462
732,"POLICÍA PROVINCIAL","COMISARÍA DE JACINTO ARAUZ",FALSE,"BELGRANO 352 · JACINTO ARAUZ · HUCAL · LA PAMPA",-63.4308703,-38.0810726
733,"POLICÍA PROVINCIAL","PUESTO CAMINERO DE JACINTO ARAUZ",FALSE,"Ruta Nac. Nº 35 y Meridiano Vº · JACINTO ARAUZ · HUCAL · LA PAMPA",-63.4297125,-38.0831509
734,"POLICÍA PROVINCIAL","COMISARÍA DE CATRILÓ",FALSE,"ROQUE SÁENZ PEÑA 381 · CATRILÓ · LA PAMPA",-63.4248175,-36.4065294
735,"POLICÍA PROVINCIAL","COMISARÍA 1ª DE GRAL. PICO",FALSE,"Calle 9 y Av. SAN MARTÍN · GRAL. PICO · MARACÓ · LA PAMPA",-63.7581554,-35.6588167
736,"POLICÍA PROVINCIAL","SUBCOMISARÍA DE VILLA TESEI",FALSE,"MOISÉS LEBENSOHN y JUAN DE LÁNGARA · VILLA TESEI · HURLINGHAM (ex MORÓN) · BUENOS AIRES",-58.6524142,-34.6178228
737,"POLICÍA FEDERAL","COMISARÍA 46ª DE CAPITAL FEDERAL",FALSE,"Av. DE LOS INMIGRANTES 2550 · Retiro · CAPITAL FEDERAL",-58.3710161,-34.5864558
900,"POLICÍA PROVINCIAL","ALCAIDÍA DE SÁENZ PEÑA",FALSE,"Calle 16 entre 19 y 21 · PRES. ROQUE SÁENZ PEÑA · CMTE. FERNÁNDEZ · CHACO",-60.4399506,-26.7804079
901,"POLICÍA PROVINCIAL","COMISARÍA 7ª DE PARANÁ (EL BRETE)",FALSE,"El Brete · PARANÁ · ENTRE RÍOS",-60.464549,-31.740941
902,"EX EXTABLECIMIENTO EDUCATIVO","LA ESCUELITA DE PARANÁ",FALSE,"Calle SELVA DE MONTIEL (camino a la cantera de broza municipal) y PABLO CRAUSAZ · PARANÁ · ENTRE RÍOS",-60.5288257,-31.7655308
910,"ESTABLECIMIENTO PRIVADO","BASE MILITAR EN SANTA LUCÍA",FALSE,"SANTA LUCÍA · MONTEROS · TUCUMÁN",-65.532582,-27.0927792
911,"EJÉRCITO","COMANDO DE BRIGADA DE INFANTERÍA V                                                           UNIDAD DE COMANDO SUBZONA 32",FALSE,"LAPRIDA al 1000 · SAN MIGUEL DE TUCUMÁN · CAPITAL · TUCUMÁN",-65.1983734,-26.810809
912,"ESTABLECIMIENTO EDUCATIVO","CIUDAD UNIVERSITARIA",FALSE,"SAN JAVIER · YERBA BUENA · TUCUMÁN",-65.3087722,-26.8173794
913,"ESTABLECIMIENTO EDUCATIVO","ESCUELA DE EL POTRERO",FALSE,"CONCEPCIÓN · CHICLIGASTA · TUCUMÁN",-65.5883464,-27.3453363
916,"ESTABLECIMIENTO EDUCATIVO","ESCUELA Nº 201 DE BUENA VISTA",FALSE,"BUENA VISTA · SIMOCA · TUCUMÁN",-65.3578262,-27.2630357
920,"ESTABLECIMIENTO PRIVADO","BASE MILITAR EN INGENIO ""LA PROVIDENCIA""",FALSE,"RÍO SECO · MONTEROS · TUCUMÁN",-65.5592445,-27.2674834
925,"POLICÍA PROVINCIAL","COMISARÍA 8ª DE TUCUMÁN",FALSE,"Av. H. POVIÑA y ALSINA (o LAMADRID 2500) · SAN MIGUEL DE TUCUMÁN · CAPITAL · TUCUMÁN",-65.2673545,-26.8330757
