"","ID","lugar_emplazamiento_propiedad","denominacion","espacio_de_memoria","ubicacion","lon","lat"
"608",1070,"ESTABLECIMIENTO EDUCATIVO","ESCUELA ""OSVALDO MAGNASCO""",FALSE,"Av. OVIDIO LAGOS 1502 (y E. ZEBALLOS) · ROSARIO · SANTA FE",-60.6637567,-32.9509467
"609",1071,"EJÉRCITO","COMANDO DE BRIGADA DE INFANTERÍA AEROTRANSPORTADA IV                                                                  UNIDAD DE COMANDO ÁREA 311",FALSE,"CÓRDOBA · CAPITAL · CÓRDOBA",-64.1887761,-31.4200833
"610",1072,"POLICÍA PROVINCIAL","LA CASITA DEL ROWING",FALSE,"A la vera de Arroyo Zaimán (actualmente bajo agua por reconstrucción costera) · Barrio Rowing · POSADAS · CAPITAL · MISIONES",-55.8940107,-27.4066327
"611",1073,"POLICÍA PROVINCIAL","COMISARÍA 1ª DE ALTA GRACIA",FALSE,"ALTA GRACIA · SANTA MARÍA · CÓRDOBA",-64.4273429,-31.6584428
"612",1074,"EJÉRCITO","BATALLÓN DE ARSENALES 121                                                                                                  UNIDAD DE COMANDO ÁREA 211",FALSE,"Ruta Nac. Nº 11 s/nº · FRAY LUIS BELTRÁN · SAN LORENZO · SANTA FE",-60.7108828,-32.8339032
"613",1077,"POLICÍA PROVINCIAL","COMISARÍA 14ª DE CUTRAL CO",FALSE,"CARLOS H. RODRÍGUEZ 230 · CUTRAL CO · CONFLUENCIA · NEUQUÉN",-69.2315198,-38.9338248
"614",1078,"SERVICIO PENITENCIARIO PROVINCIAL","UNIDAD PENITENCIARIA 1 DE PARANÁ (""CASA DEL DIRECTOR"")",FALSE,"PARANÁ · ENTRE RÍOS",-60.5115471,-31.7413197
"615",1079,"POLICÍA PROVINCIAL","COMISARÍA DE LA TOMA",FALSE,"LA TOMA · CNEL. PRINGLES · SAN LUIS",-65.6174943,-33.0548161
"616",1080,"POLICÍA PROVINCIAL","LA ESCUELITA (EX COMISARÍA 2ª)",FALSE,"Av. JUSTO DARACT 1408 (entre Av. ESPAÑA y EJÉRCITO DE LOS ANDES) · SAN LUIS · LA CAPITAL · SAN LUIS",-66.3362775,-33.2924381
"617",1081,"PREFECTURA NAVAL","PREFECTURA BAHÍA BLANCA",FALSE,"Av. TEÓFILO SALUSTIO entre GUARDACOSTAS RÍO IGUAZÚ y GUARDACOSTAS ISLAS MALVINAS · ING. WHITE · BAHÍA BLANCA · BUENOS AIRES",-62.273144,-38.7886169
"618",1082,"ARMADA","POLICÍA DE ESTABLECIMIENTOS NAVALES (BASE NAVAL ""PUERTO BELGRANO"")",FALSE,"Av. COLÓN al 100 _ ""Sector lindero al Puesto Nº 1"" _ Base Naval de Puerto Belgrano · PUERTO BELGRANO · CNEL. DE MARINA L. ROSALES · BUENOS AIRES",-62.096344,-38.884715
"619",1083,"POLICÍA PROVINCIAL","COMISARÍA 12ª DE VOLCÁN",FALSE,"VOLCÁN · TUMBAYA · JUJUY",-65.4666467,-23.9160386
"620",1084,"POLICÍA PROVINCIAL","DESTACAMENTO DE TUMBAYA",FALSE,"TUMBAYA · JUJUY",-65.4675856,-23.8577193
"621",1085,"EJÉRCITO","ESCUELA DE INSTRUCCIÓN ANDINA                                                       UNIDAD DE COMANDO ÁREA 524",FALSE,"Av. EXEQUIEL BUSTILLO Km 9/500 · SAN CARLOS DE BARILOCHE · BARILOCHE · RÍO NEGRO",-71.5312582,-41.0576342
